t T p yO2 yO rho
8.720861639615256700e-04 6.119749008525211138e+03 1.063076223998228306e+04 6.007859545001615897e-01 3.992140454998389099e-01 4.777880545520456906e-03
8.886819376722758686e-04 6.098334512889176040e+03 1.060492817247258245e+04 5.992847732466595190e-01 4.007152267533410361e-01 4.777880545520456906e-03
9.052777113830260671e-04 6.077473665482135402e+03 1.057967293421143768e+04 5.978240375278337515e-01 4.021759624721667481e-01 4.777880545520456906e-03
9.218734850937762657e-04 6.057143153207615796e+03 1.055497528843040163e+04 5.964019875945992810e-01 4.035980124054011631e-01 4.777880545520456906e-03
9.384692588045264643e-04 6.037320981229573590e+03 1.053081503354711822e+04 5.950169656881071356e-01 4.049830343118932530e-01 4.777880545520456906e-03
9.550650325152765545e-04 6.017986381403476116e+03 1.050717294279300040e+04 5.936674088198868882e-01 4.063325911801134449e-01 4.777880545520456906e-03
9.716608062260267530e-04 5.999119711843920413e+03 1.048403067920893773e+04 5.923518421564559766e-01 4.076481578435442454e-01 4.777880545520456906e-03
9.882565799367770600e-04 5.980701448217780126e+03 1.046136910811316375e+04 5.910688736815938871e-01 4.089311263184063350e-01 4.777880545520456906e-03
1.004852353647527150e-03 5.962713232114432685e+03 1.043917019543442075e+04 5.898171892995774934e-01 4.101828107004226731e-01 4.777880545520456906e-03
1.021448127358277457e-03 5.945138504644593013e+03 1.041741819316986584e+04 5.885955470674840706e-01 4.114044529325160404e-01 4.777880545520456906e-03
1.038043901069027547e-03 5.927961569108129879e+03 1.039609807331964294e+04 5.874027713655091132e-01 4.125972286344910533e-01 4.777880545520456906e-03
1.066924525001733837e-03 5.898974210412296088e+03 1.035998341374020129e+04 5.853926048678780303e-01 4.146073951321221918e-01 4.777880545520456906e-03
1.085858946427073523e-03 5.880563918712899977e+03 1.033695831016355805e+04 5.841177043241670974e-01 4.158822956758331246e-01 4.777880545520456906e-03
1.104793367852413208e-03 5.862601469060226009e+03 1.031442738446173280e+04 5.828751564632963511e-01 4.171248435367038154e-01 4.777880545520456906e-03
1.123727789277752893e-03 5.845068788576485531e+03 1.029237280805123555e+04 5.816636165485111754e-01 4.183363834514889912e-01 4.777880545520456906e-03
1.142662210703092578e-03 5.827948792754465103e+03 1.027077762094802165e+04 5.804818152038105916e-01 4.195181847961895194e-01 4.777880545520456906e-03
1.161596632128432264e-03 5.811225311933902049e+03 1.024962567173666503e+04 5.793285527426818016e-01 4.206714472573183095e-01 4.777880545520456906e-03
1.180531053553771949e-03 5.794883035505738007e+03 1.022890157667687527e+04 5.782026947774088210e-01 4.217973052225913455e-01 4.777880545520456906e-03
1.199465474979111634e-03 5.778907460680612530e+03 1.020859068183204727e+04 5.771031681914620126e-01 4.228968318085381539e-01 4.777880545520456906e-03
1.218399896404451319e-03 5.763284839150739572e+03 1.018867902000362301e+04 5.760289570114349722e-01 4.239710429885651943e-01 4.777880545520456906e-03
1.248861308674500004e-03 5.738859394086174689e+03 1.015744982720214102e+04 5.743514952219392899e-01 4.256485047780609321e-01 4.777880545520456906e-03
1.279322720944548689e-03 5.715263110741301716e+03 1.012716741518649178e+04 5.727333356930179864e-01 4.272666643069821246e-01 4.777880545520456906e-03
